關鍵字,回應
美好東河咖啡民宿,《美好東河咖啡民宿》建築前身是自來水工作站老闆將老房子空間重新利用，結合慢活，小農，咖啡，甜點打造全新東河印象，一段美好假期就此展開，設有露台，餐廳以及附戶外休息區和 WiFi（免費）的空調住宿，距離東河海灘（Donghe Beach） 300 公尺。每個房型都設有烤箱，微波爐，咖啡機，爐子和電熱水壺。部分房型有衛星頻道平面電視，設備齊全且附冰箱的廚房，以及附淋浴設施和免費盥洗用品的私人衛浴。 提供租車服務。這間住宿距離金樽海灘 2.4 公里，距離 Taitung Night Market 33 公里。最近的機場是台東機場，距離 Mayhow Donghe 37 公里。住宿提供付費機場接駁服務。
途中·都蘭 青年旅舍 青年旅館,"途中都蘭的定位是青年旅館，全館只有公共衛浴，且這是鄉下老房子，若您希望住一間現代化，雅致，裝潢厲害的飯店或旅館，可前往臺東市挑選。都蘭不只是衝浪天堂，多數人是為了「慢活」而來，這裡能放慢步調閱讀，寫作，飲酒，若您也認同「都蘭style」。都蘭是一個慢活天堂，它很平凡，卻能讓你忘掉都市的喧囂與繁雜心情，晴天可以去海邊曬太陽，衝浪，雨天可以躲在溫馨的背包客棧閱讀，寫作，追劇，來過的背包客都覺得Chill。此外，這裡離台東市區只有30分鐘車程，進城採買，逛街，看電影，吃大餐…相當便利，堪稱海線機能最佳的村落。\n
途中都蘭的前身叫「背包狗」，是都蘭史上第一間背包客棧，原經營者Kai和Party在2010年把紐西蘭背包客棧的味道帶進這空間，當年這裡只是個鄉下老空屋，他們一手改造成現今溫馨的青旅。11年過去了，他們譜出來的都蘭圖畫已完成，現在的背包狗已搬家到台東市區（地址台東縣台東市文化街10號）\n
 途中都蘭的定位是青年旅館，全館只有背包房，單/雙人雅房及公共衛浴，由於每位房客的作息都不同，除了請晚睡的您放低音量，本館也提供免費耳塞（在老衛浴旁邊），良好的住宿品質需要你我一起維護。"
螺絲釘民宿,每個人心中的某一角 都期待著一種歸屬感，螺絲釘民宿主人 一直嚮往簡單生活，親近自然的鄉居夢，十三年前偶然來到東河衝浪，在海裏看著馬武窟溪口，瞬間被這樣渾然天成的景致給吸引住，於是那刻起心裡就有了個夢...
小心沙發SUP立槳背包客美食空間,"小心沙發是一個部落聚點，為大家在部落裡有個相聚討論發想的空間及各種資訊交流站。(2019/04/01低調開幕)\n
前身早期是部落第一間雜貨店，可說是當時候的家樂福，聽老一輩子的人說美山商行是許多老少青年聚守觀看棒球的幸福時光，(美山商店1967-2017)，後期因身受人口外流，少子老化，消費型態的改變，進而轉型為部落的活動聚點。\n
Logo意象-五個釘子部落的長輩(敬老尊賢)，部落的青年(習學的對象)，部落的幫工者(mipaliw)，來此地的旅人(資源分享)，小心沙發(提供的聚落點) 串連出一個活動會所。\\n
小心沙發誕生名稱最先由『沙發衝浪』（Couchsurfing）愛好者-小心(沙發主)所提供的場合，回鄉之後發現要讓這個部落先有活力的來源就是先從旅人型態慢慢轉化成活動空間，熱愛沙發衝浪的小心順勢因此名命。\n
空間使用增加輕食販售，分享會空間租用，旅人中途休憩站及活動創意企劃，簡易攝影棚，失戀收容所，一人生日慶生會所，小型書店，公車招呼站，澡點服務。\n
空間容納度最多十二人 最少一隻狗(店狗-彎彎)"
那邊背包客棧,那邊背包客棧，距離 Taitung Night Market 7 公里，有附空調和 WiFi（免費）的客房。這間住宿距離小野柳 800 公尺，距離台東加路蘭海岸 1.9 公里，距離臺東森林公園 5.6 公里。這間青年旅館距離台東濟公堂 6.2 公里，距離台東故事館 6.4 公里。所有客房均有寢具。那邊背包客棧距離 Taitung White House 6.4 公里，距離台東忠合宮 6.6 公里。最近的機場是台東機場，距離這間住宿 12 公里。
海景擁月星宿民宿,"台東民宿‧擁月星宿位置坐落於往返花東的交通要道-台11線(花東海岸公路)上，不但交通便利，更擁有明媚的山海景致。\n
步出民宿大門，穿越馬路即可輕鬆抵達遼闊的海岸，一望無際的太平汪洋搭配婆娑搖曳的椰子樹，完全展現如南洋般的悠閒風情。\n
「台東民宿‧擁月星宿」不僅僅提供乾淨高雅，舒適溫馨的客房空間，寬敞的園區更備有可供休憩的庭園雅座。\n
旅人們可以在這裡伴著海景，歡笑閒談。孩童則可在大草原上嬉戲追逐。\n
您也可以牽著家人的手，一同沿著園區規劃的觀景步道慢行，全覽欣賞倚山面海的優美景緻。"
海水藍民宿,"海水藍民宿(aquamarine)名稱的由來，相傳台東都蘭山具有豐富的藍寶石礦脈，其中少數被開發出來具清澈透藍色澤，顏色接近碧海藍天的寶石，在國際珠寶界被稱之為頂級”海水藍寶石(aquamarine)”。\n
海水藍民宿恰巧依偎在都蘭山腳下的杉原海灣旁，向外望去映入眼簾是陽光灑落在廣闊太平洋上，海面就如同就像數以千計的寶石閃爍著。\n
漫遊在花東海岸，一陣海風吹拂過身旁，在這裡品味著海洋的氣息，浪花拍打在礫石海岸的聲音不絕於耳，海水藍歡迎旅人們帶著自在的心情，來體驗美好的一天。\n"
台東木頭魚民宿,"「台東木頭魚民宿」位置座落於風光明媚的海岸公路上，不但南北交通往來便利，景色更是一絕。倚山面海的絕佳位置，帶給旅人滿目的疊翠綠意和遼闊的蔚藍海景，同時滿足您兩大視覺魅力，清幽無比的舒適氣息，更提供來訪的旅人遠離塵囂，自在舒壓的優質渡假環境。\n
「台東木頭魚民宿」新穎的空間格局，以檜木做為裝飾元素，並以此製做手作家具及創意藝品，為整體空間營造出獨具風味的南洋風格和悠閒風情，也讓旅人奔波的心情更加平靜而踏實。明亮的客房空間寬敞，舒適，格調簡潔而幽靜，展現出一種東台灣特有的淡雅寧靜氣息。"
黑足民宿,"那一天 晴空萬里，背上行囊，一步一腳印，或許人活著就是為了走出時間的軌跡，無論記憶是否燦爛，酸澀，喜悅，孤單。\n
來台東歇腳不要忘了黑足民宿，從富岡漁港出發到綠島潛水，蘭嶼看飛魚季，可以將愛車寄放在我們的停車場，幫你顧好好不用曬太陽。"
東岸民宿," 繁忙的生活，緊湊的步調，這是城市生活的最佳寫照。待久了擁擠的城市，台東好像是讓人放鬆喘息，感受輕旅慢活，製造小浪漫的最佳旅行地！\n
「東岸海景民宿」位於風光明媚的東海岸公路上(台11線137k處)，不但南北交通往來便利，景色更是一絕，沿著東海岸台11線觀賞美麗湛藍的雙色海，一年四季裡呈現各種不同風貌。\n
「東岸海景民宿」倚山面海前有黑色沙灘，享受漫步在沙灘上，帶給旅人遼闊的天海一色蔚藍海景，清幽無比的舒適氣息，自在舒壓的優質渡假環境，回味無窮，讓您依依不捨~"
大姆灣民宿旅棧,"位於台東都蘭的大姆灣旅棧，有著依山傍海的絕佳景色，安靜舒適的居住空間，民宿內精緻的裝潢擺設，加上周週純淨無汙染的生態環境，讓您享受最純粹最美好的假日時光。\n
Tamo'wan是阿美族語的地區名稱。屬於都蘭部落的傳統領域，據說這裡以前是種植甘蔗的地方，出產的甘蔗再送到糖廠製成各式糖製品，早期大家都在這塊土地上辛勤工作。而在糖產業沒落之後，家人們決定在此建立這間美麗的旅棧，讓家中的老人家可以在此度過悠閒的日子，另一方面，希望能讓來此住宿的旅客們一同感受這塊土地的美好風光。"
東河海王子民宿,我們夫妻辛苦的省吃儉用，花了三年終於蓋好的海王子民宿，就位於朗島村的港澳上方。因此對面就可以跳港玩水， 用走的就到囉，愛跳幾次就幾次！朗島部落地利之便，往右邊看就是日出，往左邊看就是夕陽，民宿對面還有廣場，可以傍晚吹風，夜間賞星，加上一樓經營的海王子餐舍，更有不容錯過的海鮮大餐喔。
都蘭城民宿,「都蘭城」民宿位於台東縣東河鄉，每年7月會舉辦熱鬧非凡的阿美族豐年祭，屆時會有連續3日的精彩豐年祭表演，誠摯邀請您一同來共襄盛舉，擁有不一樣的暑期回憶！另外「都蘭城」鄰近熱門景點協天宮(天上聖母)，水往上流，泰源幽谷，都蘭遺址，都蘭國小，新東糖廠，杉原海水浴場，伽路蘭遊憩區喔！
山海都藍,面向綠島的南島渡假風合法登記金銀花農場，以自然無毒農法植栽約 1200 多棵金銀花和各式香草植物，歡迎來體驗金銀花之旅，喝著金銀花茶或冰涼的氣泡金銀花露吹著海風遠眺綠島。絕美的山海景色，自然和無毒（ ROHS）生機盎然的環境，種滿救人的忍冬－金銀花，和超級養生抗癌的蝶豆花，在夏夜和早晨空氣中彌漫著陣陣花香撲鼻而來，詩曰蛙鳴潮聲相伴入眠，日出鳥語照喚屋前，山林海景近在咫尺，山產海產隨意隨緣。
都蘭紅瓦厝民宿,我們位於東河鄉都蘭村內，剛好就在都蘭國中旁，地理位置及交通便，由台11線省道到民宿不用5分鐘。\n 民宿有寬廣的庭院及停車場，更有民宿主人的父親細心栽培的有機水果和花草樹木，民宿前方正對綠島，好天氣可以一覽無疑，晚上可在觀景台抬頭仰望星空更可看到綠島的燈火，早上可以在前方觀景台享用早餐，可邊吃早餐邊看海看山，鄉下的空氣又清幽，蟲鳴鳥叫花香處處。\n如果您計畫到台東走走，厭倦了都市的吵鬧，想往鄉村走走，不仿選擇都蘭紅瓦厝民宿，讓您有不一樣的體驗。
金地亞哥民宿,"關於金地亞哥民宿介紹\n
台東市個好山好水的地方，一個靠近金樽的小民宿，位於台11線上的134.5k處，希望帶給有緣來遊玩的朋友們，一個舒適安靜的地方休息。\n
金地亞哥民宿座落於東河，入住這裡，您就鄰近海灘，開車 5 分鐘即可抵達金樽觀景台和金樽海灘。 此旅館位置絕佳，從這裡開車 4.9 公里 (3.1 英哩) 可以抵達金樽漁港，開車 6.5 公里 (4.1 英哩) 則會到東河橋遊憩區。"
晨天長光,位於長濱鄉，提供 WiFi（免費）。住客可以使用花園，共用休息室和露台。部分房型設有享市景的陽台，設備齊全的簡易廚房以及附淋浴設施的私人衛浴。 距離瑞穗火車站 41 公里，距離阿美族民俗中心 41 公里。最近的機場是台東機場，距離這間住宿 85 公里。
小阿姨野花,台東長濱民宿-小阿姨野花民宿，在這小阿姨做了一個大陽台 最衷就是想給旅人一個來到這裡有個坐坐聊聊 發發呆 很放鬆或是可以看看星星瞭望大海的地方。這裡有一條可媲美伯朗大道的“金剛大道” 一條很筆直的產業道路像是直通到太平洋 山海呼應的梯田美景。單車，健行，環島，背包客的好選擇！
灰黑橘黃民宿,"在台東長濱的海岸線旁，筆直的道路，疏落的民宅，一整棟黑色的建築，在海邊，沉靜而遼闊，懼鬱卻又祥和，這是灰黑橘黃。這裡不宜喧鬧遊樂，請安靜準備自己，與天冥想，與海禪修，妳將感到世界的巨大與自我的渺小——「海市蜃樓，恍如隔世」，灰黑橘黃，無盡，卻也空靈。\n
主人故事\n
關於旅宿主人的動人故事，高姊．感知生命自我的哲學藝術家，「如果妳旅行過夠多地方，就會知道最好的台灣。」海風吹過，高姊推門走入分手巧克力的大廳，她一頭清簡的短髮，一身黑色衣著，寬大的墨鏡底下看不見眼神，看似有著藝術家的神祕，但當我們坐在大桌旁，她把最近做的巧克力拿給每個人，談起年輕時瀟灑於世界的旅行，對於自我的追尋，露出溫暖的笑容，一如沙漠風情，灰黑橘黃，於那樣沉穩的深色裹著柑橘般的亮黃，豐富著生命的光彩。"
棕萊民宿（在地人自營）,民宿距離金剛大道約一公里，依山傍海可近看金剛山及遠眺幅員遼闊的太平洋，傳說中的「海天一線」可一飽眼福。棕萊民宿位於忠勇金剛山附近，前面看的到大海，後面看的到山，為了旅客的方便還提供共用廚房。有共用休息室和烤肉設備，可以烤肉，抓蝦。每個房型都設有私人衛浴和淋浴設施，空調及平面電視。
